Objektbez,Jahr,namident,sprcode,Geschlecht,gebjahr,todjahr,ausstellungen,events,performances,literatur,rating,NATIONALITAET
Temperamalerei,1895,"Böcklin, Arnold",DEU,M,1827,1901,150,0,0,274,*****,CH
Ölmalerei,1874,"Böcklin, Arnold",DEU,M,1827,1901,150,0,0,274,*****,CH
Ölmalerei,1863,"Böcklin, Arnold",DEU,M,1827,1901,150,0,0,274,*****,CH
Zeichnung,1841,"Böcklin, Arnold",DEU,M,1827,1901,150,0,0,274,*****,CH
Ölmalerei,1877,"Böcklin, Arnold",DEU,M,1827,1901,150,0,0,274,*****,CH
Ölmalerei,1856,"Böcklin, Arnold",DEU,M,1827,1901,150,0,0,274,*****,CH
Ölmalerei,1883,"Böcklin, Arnold",DEU,M,1827,1901,150,0,0,274,*****,CH
Ölmalerei,1953,"Klotz, Lenz",DEU,M,1925,,75,0,0,86,****,CH
Ölmalerei,1964,"Klotz, Lenz",DEU,M,1925,,75,0,0,86,****,CH
Ölmalerei,1999,"Klotz, Lenz",DEU,M,1925,,75,0,0,86,****,CH
Ölmalerei,1924,"Müller, Albert",DEU,M,1897,1926,48,0,0,62,****,CH
Holzschnitt,1925,"Müller, Albert",DEU,M,1897,1926,48,0,0,62,****,CH
Ölmalerei,1900,"Itschner, Karl",DEU,M,1868,1953,21,0,0,27,***,"CH, USA"
Ölmalerei,1870,"Bachmann, Hans",DEU,M,1852,1917,6,0,0,15,***,CH
,1997,"Lüthi, Urs",DEU,M,1947,,195,0,0,227,****,CH
"Foto Art",1979,"Lüthi, Urs",DEU,M,1947,,195,0,0,227,****,CH
"Foto Art",1971,"Lüthi, Urs",DEU,M,1947,,195,0,0,227,****,CH
Acrylmalerei,1982,"Lüthi, Urs",DEU,M,1947,,195,0,0,227,****,CH
Acrylmalerei,1985,"Lüthi, Urs",DEU,M,1947,,195,0,0,227,****,CH
Ölmalerei,1827,"Bodmer, Johann Karl",DEU,M,1809,1893,10,0,0,22,***,"CH, F"
Ölmalerei,1827,"Bodmer, Johann Karl",DEU,M,1809,1893,10,0,0,22,***,"CH, F"
"peinture à l'huile",1953,"Buchet, Gustave Louis",FRA,M,1888,1963,33,0,0,50,****,CH
Ölmalerei,1926,"Buchet, Gustave Louis",FRA,M,1888,1963,33,0,0,50,****,CH
Ölmalerei,1919,"Buchet, Gustave Louis",FRA,M,1888,1963,33,0,0,50,****,CH
"peinture à l'huile",1925,"Buchet, Gustave Louis",FRA,M,1888,1963,33,0,0,50,****,CH
"peinture à l'huile",1926,"Buchet, Gustave Louis",FRA,M,1888,1963,33,0,0,50,****,CH
Fotografie,1994,"Strba, Annelies",DEU,F,1947,,149,1,0,123,****,CH
"Video Still",1999,"Strba, Annelies",DEU,F,1947,,149,1,0,123,****,CH
Ölmalerei,1958,"Chavaz, Albert",FRA,M,1907,1990,30,0,0,51,***,CH
Ölmalerei,1955,"Chavaz, Albert",FRA,M,1907,1990,30,0,0,51,***,CH
Ölmalerei,1945,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
"peinture à l'huile",1943,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,1924,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Mischtechnik,,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,1921,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
"peinture à l'huile",1907,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,1928,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
"peinture à l'huile",1925,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
