HAUPTNR,JAHR,URHAUPTNR,SPRCODE,GESCHLECHT,AUSSTELLUNGEN,EVENTS,PER2OR1ANCES,LITERATUR,RATING,PLZ
6013390,1914,4022828,1,1,103,0,0,164,4,5736
13740847,1849,4022825,1,1,150,0,0,274,5,4000
6012613,1909,4000030,2,1,62,0,0,94,4,2500
6012613,1909,4000030,2,1,62,0,0,94,4,1288
6013059,1953,4023384,2,1,33,0,0,50,4,1000
6013059,1953,4023384,2,1,33,0,0,50,4,9434
6013280,1869,4022827,1,1,65,0,0,107,4,6440
6013280,1869,4022827,1,1,65,0,0,107,4,4532
6012151,1958,4000314,1,1,53,0,0,64,4,3000
6013125,1870,4022827,1,1,65,0,0,107,4,6440
6013125,1870,4022827,1,1,65,0,0,107,4,4532
6013412,1904,4022828,1,1,103,0,0,164,4,3800
6013412,1904,4022828,1,1,103,0,0,164,4,3400
6013412,1904,4022828,1,1,103,0,0,164,4,8458
6013412,1904,4022828,1,1,103,0,0,164,4,5736
6012776,0,4000030,2,1,62,0,0,94,4,2500
6012776,0,4000030,2,1,62,0,0,94,4,1288
6013355,1911,4022828,1,1,103,0,0,164,4,3800
6013355,1911,4022828,1,1,103,0,0,164,4,3400
6013355,1911,4022828,1,1,103,0,0,164,4,8458
6013355,1911,4022828,1,1,103,0,0,164,4,5736
6013359,1910,4022828,1,1,103,0,0,164,4,3800
6013359,1910,4022828,1,1,103,0,0,164,4,3400
6013359,1910,4022828,1,1,103,0,0,164,4,8458
6013359,1910,4022828,1,1,103,0,0,164,4,5736
6013409,1914,4022828,1,1,103,0,0,164,4,3800
6013409,1914,4022828,1,1,103,0,0,164,4,3400
6013409,1914,4022828,1,1,103,0,0,164,4,8458
6013409,1914,4022828,1,1,103,0,0,164,4,5736
6012483,1937,4000030,2,1,62,0,0,94,4,2500
6012483,1937,4000030,2,1,62,0,0,94,4,1288
6013396,1885,4022828,1,1,103,0,0,164,4,3800
6013396,1885,4022828,1,1,103,0,0,164,4,3400
6013396,1885,4022828,1,1,103,0,0,164,4,8458
6013396,1885,4022828,1,1,103,0,0,164,4,5736
6013399,1906,4022828,1,1,103,0,0,164,4,3800
6013399,1906,4022828,1,1,103,0,0,164,4,3400
6013399,1906,4022828,1,1,103,0,0,164,4,8458
6013399,1906,4022828,1,1,103,0,0,164,4,5736
6013994,1880,4022827,1,1,65,0,0,107,4,6440
6013994,1880,4022827,1,1,65,0,0,107,4,4532
6013955,1876,4022827,1,1,65,0,0,107,4,6440
6013955,1876,4022827,1,1,65,0,0,107,4,4532
13834823,1981,4001464,1,1,84,0,0,76,3,3000
13834823,1981,4001464,1,1,84,0,0,76,3,4415
13834823,1981,4001464,1,1,84,0,0,76,3,6005
13834823,1981,4001464,1,1,84,0,0,76,3,9434
13834823,1981,4001464,1,1,84,0,0,76,3,3274
6012804,1945,4000260,1,1,40,0,0,80,3,7166
6014265,1816,4022942,1,1,17,0,0,63,4,6000
6014265,1816,4022942,1,1,17,0,0,63,4,9434
6013448,1908,4022828,1,1,103,0,0,164,4,3800
6013448,1908,4022828,1,1,103,0,0,164,4,3400
6013448,1908,4022828,1,1,103,0,0,164,4,8458
6013448,1908,4022828,1,1,103,0,0,164,4,5736
6012963,1871,4022827,1,1,65,0,0,107,4,6440
6012963,1871,4022827,1,1,65,0,0,107,4,4532
6012796,1926,4023384,2,1,33,0,0,50,4,1000
6012796,1926,4023384,2,1,33,0,0,50,4,9434
6013425,1905,4022828,1,1,103,0,0,164,4,3800
6013425,1905,4022828,1,1,103,0,0,164,4,3400
6013425,1905,4022828,1,1,103,0,0,164,4,8458
6013425,1905,4022828,1,1,103,0,0,164,4,5736
6011527,1950,4000040,1,1,52,1,0,80,5,1000
6011527,1950,4000040,1,1,52,1,0,80,5,8267
6013395,1913,4022828,1,1,103,0,0,164,4,3800
6013395,1913,4022828,1,1,103,0,0,164,4,3400
6013395,1913,4022828,1,1,103,0,0,164,4,8458
6013395,1913,4022828,1,1,103,0,0,164,4,5736
6012927,1852,4022827,1,1,65,0,0,107,4,6440
6012927,1852,4022827,1,1,65,0,0,107,4,4532
6012134,1949,4000314,1,1,53,0,0,64,4,3000
6012136,1950,4000314,1,1,53,0,0,64,4,3000
6012502,1911,4000030,2,1,62,0,0,94,4,2500
6012502,1911,4000030,2,1,62,0,0,94,4,1288
9580872,1958,4026515,1,2,22,0,0,21,4,8000
9580872,1958,4026515,1,2,22,0,0,21,4,6000
6012341,1907,4022753,1,1,32,0,0,32,3,8712
6012341,1907,4022753,1,1,32,0,0,32,3,8703
6014748,1879,4022900,1,1,28,0,0,54,4,4500
6014748,1879,4022900,1,1,28,0,0,54,4,8000
6014089,1874,4022827,1,1,65,0,0,107,4,6440
6014089,1874,4022827,1,1,65,0,0,107,4,4532
6013458,1913,4022828,1,1,103,0,0,164,4,3800
6013458,1913,4022828,1,1,103,0,0,164,4,3400
6013458,1913,4022828,1,1,103,0,0,164,4,8458
6013458,1913,4022828,1,1,103,0,0,164,4,5736
6014016,1846,4022827,1,1,65,0,0,107,4,6440
6014016,1846,4022827,1,1,65,0,0,107,4,4532
6014093,1880,4022827,1,1,65,0,0,107,4,6440
6014093,1880,4022827,1,1,65,0,0,107,4,4532
6012961,1869,4022827,1,1,65,0,0,107,4,6440
6012961,1869,4022827,1,1,65,0,0,107,4,4532
6012955,1852,4022827,1,1,65,0,0,107,4,6440
6012955,1852,4022827,1,1,65,0,0,107,4,4532
6013631,1841,4022880,2,1,24,0,0,28,3,1200
6013179,1919,4023384,2,1,33,0,0,50,4,1000
6013179,1919,4023384,2,1,33,0,0,50,4,9434
9587622,1884,4022827,1,1,65,0,0,107,4,6440
9587622,1884,4022827,1,1,65,0,0,107,4,4532
9586633,1865,4022827,1,1,65,0,0,107,4,6440
9586633,1865,4022827,1,1,65,0,0,107,4,4532
9587746,1867,4022827,1,1,65,0,0,107,4,6440
9587746,1867,4022827,1,1,65,0,0,107,4,4532
9578982,1858,4022827,1,1,65,0,0,107,4,6440
9578982,1858,4022827,1,1,65,0,0,107,4,4532
9185901,1867,4022827,1,1,65,0,0,107,4,6440
9185901,1867,4022827,1,1,65,0,0,107,4,4532
9575806,1876,4022646,1,1,1,0,0,3,2,4663
9575806,1876,4022646,1,1,1,0,0,3,2,5736
6013163,1883,4022827,1,1,65,0,0,107,4,6440
6013163,1883,4022827,1,1,65,0,0,107,4,4532
6014025,1876,4022827,1,1,65,0,0,107,4,6440
6014025,1876,4022827,1,1,65,0,0,107,4,4532
6012945,1875,4022827,1,1,65,0,0,107,4,6440
6012945,1875,4022827,1,1,65,0,0,107,4,4532
6014514,1858,4022900,1,1,28,0,0,54,4,4500
6014514,1858,4022900,1,1,28,0,0,54,4,8000
9596668,0,4022827,1,1,65,0,0,107,4,6440
9596668,0,4022827,1,1,65,0,0,107,4,4532
11518644,1998,4003260,2,1,26,0,0,53,3,1430
11518644,1998,4003260,2,1,26,0,0,53,3,1110
11518660,1992,4003260,2,1,26,0,0,53,3,1430
11518660,1992,4003260,2,1,26,0,0,53,3,1110
9585688,1867,4022827,1,1,65,0,0,107,4,6440
9585688,1867,4022827,1,1,65,0,0,107,4,4532
9584911,1872,4022827,1,1,65,0,0,107,4,6440
